"pol","day"
-0.646954963376649,2021-01-26
-0.481971260861367,2021-01-26
-0.644623586556778,2021-01-26
-0.572292579885919,2021-01-26
-0.570153160883698,2021-01-26
-0.563876054093062,2021-01-26
-0.563876054093062,2021-01-26
-0.568037557443755,2021-01-26
-0.654103854026141,2021-01-26
-0.570153160883698,2021-01-26
-0.441341827493896,2021-01-26
-0.737443916112788,2021-01-26
-0.654103854026141,2021-01-26
-0.561829310300774,2021-01-26
-0.55191972660468,2021-01-26
-0.528422907556788,2021-01-26
-0.465054687180944,2021-01-26
-0.555820267903902,2021-01-26
-0.568037557443755,2021-01-26
-0.572292579885919,2021-01-26
-0.563876054093062,2021-01-26
-0.635543927605389,2021-01-26
-0.563876054093062,2021-01-26
-0.557801808120821,2021-01-26
-1.00635344325304,2021-01-26
-0.925780785982442,2021-01-26
-0.631145646888424,2021-01-26
-0.570153160883698,2021-01-26
-0.651694623541534,2021-01-26
-0.563876054093062,2021-01-26
-0.620537401505072,2021-01-26
-0.600219258183821,2021-01-26
-0.404232922111929,2021-01-26
-0.473286382647969,2021-01-26
-0.565945330970279,2021-01-26
-0.716666666666667,2021-01-26
-0.474985800620784,2021-01-26
-0.686354720642155,2021-01-26
-0.397250826529137,2021-01-26
-0.561829310300774,2021-01-26
-0.624716151760358,2021-01-26
-0.651694623541534,2021-01-26
-0.555820267903902,2021-01-26
-0.572292579885919,2021-01-26
-0.483766318325562,2021-01-26
-0.553859696475815,2021-01-26
-0.649311819864738,2021-01-26
-0.724250652117206,2021-01-26
-0.568037557443755,2021-01-26
-0.553859696475815,2021-01-26
-0.637777832305484,2021-01-26
-0.561829310300774,2021-01-26
-0.555820267903902,2021-01-26
-0.559804693588781,2021-01-26
-0.568037557443755,2021-01-26
-0.565945330970279,2021-01-26
-0.622616259594471,2021-01-26
-0.781236920420313,2021-01-26
-0.542516658107679,2021-01-26
-0.559804693588781,2021-01-26
